codgr;sougr;numlig;nojour;codal
402106;4;29;3;17506
347866;1;36;1;17772
235581;6;2;1;7527
380118;6;24;1;91710
546510;1;12;2;11943
293168;7;32;1;1772
199257;4;41;6;11672
74942;7;10;2;19546
403253;1;8;2;23298
97995;2;28;3;19373
106705;3;31;3;17620
251283;1;20;3;26776
190934;7;32;2;17883
199667;1;31;3;18355
237431;4;2;1;7467
217868;1;42;1;13450
340427;3;39;2;24935
438710;5;20;2;31215
487809;4;39;2;24987
430012;2;32;2;17906
367410;3;23;1;10566
32761;4;32;1;76156
367800;1;31;1;29361
289064;1;41;1;15233
157027;4;19;2;10042
122267;1;30;1;30990
543575;1;21;3;24277
564453;5;23;5;20371
100356;2;33;3;17403
70699;5;35;5;61123
289585;3;36;1;16753
371798;3;19;1;33402
43606;3;27;2;30175
355071;4;7;1;11546
87890;1;22;2;14806
285651;6;31;1;18062
66779;2;26;1;11460
577412;7;31;1;-337
235026;3;28;1;7813
67810;1;9;2;19504
496399;5;31;2;77465
510590;1;8;1;20375
474237;4;32;2;76433
389473;4;32;1;89083
63196;5;33;2;20053
555613;6;32;4;18211
178055;1;31;6;18444
165110;7;33;2;23041
112158;7;10;2;19814
371137;6;21;6;23847
503710;1;4;1;9216
43107;3;9;3;19457
89211;1;31;2;76308
508240;5;36;3;26420
409311;4;23;4;20037
530943;7;10;2;19760
482624;1;31;2;18550
89999;2;2;1;7766
37414;7;32;1;74308
67986;6;10;1;90679
370308;1;9;2;19604
511976;4;9;1;20829
312348;3;23;3;19014
504866;4;9;2;16114
104719;1;30;3;31139
315842;6;32;1;29466
133388;2;31;1;17896
284582;1;31;1;76668
466883;7;10;1;13792
272783;3;35;2;16999
177520;5;30;2;30975
384979;3;38;2;25063
389656;2;30;2;31159
21586;1;31;2;18640
99081;5;9;2;20363
290047;5;32;3;18102
392211;5;29;2;30996
153436;2;35;4;3482
523164;3;30;3;30878
415410;1;2;1;7602
105485;2;33;1;3360
186357;1;21;6;23752
401171;3;3;1;8335
515521;5;32;3;18177
214613;1;12;2;11148
185419;4;9;2;20490
104671;3;32;3;18100
523652;3;20;2;9388
511341;6;31;4;18466
250347;2;2;1;7521
169406;2;32;2;17925
95836;5;2;1;7514
343732;3;30;1;31272
21847;4;32;1;16026
277625;1;43;2;11715
426055;3;21;4;23395
283273;6;32;1;2816
74140;2;9;1;19836
262289;5;34;1;18053
474700;6;1;1;7283
285187;2;41;2;13047
491677;7;32;2;18128
523203;5;26;3;19133
175225;2;32;1;2490
53178;3;35;2;27550
321056;6;20;2;29749
253022;5;20;2;30151
293231;7;30;1;30698
123082;3;30;1;30843
269959;1;29;4;30880
282380;6;43;3;11159
271062;2;22;1;18765
176408;5;22;3;22362
438339;7;21;2;27392
211507;6;33;1;16848
375500;1;30;2;31080
